Date,Monthly Returns,Monthly TBill,Monthly Excess
2019-05-31,-2.5316455696202556,0.5100000000708333,-3.041645569691089
2019-06-30,-13.506495488154425,0.5008333331916667,-14.007328821346091
2019-07-31,0.9008986304320121,0.47750000009166665,0.42339863034034547
2019-08-31,-0.5952290396567306,0.4516666667125,-1.0468957063692306
2019-09-30,6.2874202939601,0.4450000001125,5.8424202938476
2019-10-31,4.788734543491424,0.42083333338333334,4.367901210108091
2019-11-30,3.7634346302927835,0.40916666652916667,3.3542679637636166
2019-12-31,0.518136712035222,0.42083333338333334,0.0973033786518887
2020-01-31,14.432995873539634,0.4274999999833333,14.0054958735563
2020-02-29,-12.387386961674496,0.42333333335833334,-12.81072029503283
2020-03-31,-25.449874389574912,0.354166666775,-25.804041056349913
